Date,Amount
2021-12-05 18:41,1800.0
2021-12-05 12:23,4800.0
2021-12-04 21:05,324.0
2021-12-04 20:20,65.0
2021-12-04 13:54,30.0
2021-12-04 10:13,200.0
2021-12-03 21:59,25.0
2021-12-03 21:59,130.0
2021-12-03 21:28,20.0
2021-12-03 21:28,40.0
2021-12-02 20:07,504.0
2021-12-02 19:48,75.0
2021-12-01 19:57,196.0
2021-12-01 14:00,160.0
2021-11-30 14:24,115.0
2021-11-30 14:17,128.0
2021-11-30 10:11,70.0
2021-11-29 20:47,40.0
2021-11-29 20:47,50.0
2021-11-29 20:09,40.0
2021-11-29 09:29,40.0
2021-11-28 19:59,94.0
2021-11-28 13:10,269.4
2021-11-27 23:14,120.0
2021-11-27 22:34,130.0
2021-11-27 18:41,35.0
2021-11-27 13:46,75.0
2021-11-27 09:33,30.0
2021-11-26 21:56,150.0
2021-11-26 20:57,102.0
2021-11-26 20:15,40.0
2021-11-26 14:14,150.0
2021-11-26 09:22,60.0
2021-11-25 20:27,145.0
2021-11-25 20:27,58.0
2021-11-25 20:27,95.0
2021-11-24 19:26,15.0
2021-11-24 19:23,70.0
2021-11-24 19:06,20.0
2021-11-24 19:06,58.0
2021-11-23 22:53,50.0
2021-11-23 22:53,179.0
2021-11-22 14:16,90.0
2021-11-22 14:16,97.0
2021-11-21 17:07,130.0
2021-11-21 15:50,875.0
